"Title","Authors","Date","Codigo","JEL","Palabras.Claves","Keywords","Resumen","Abstract","Idioma"
"Sectoral and aggregate response to oil price shocks in the Colombian economy: SVAR and Local Projections approach","Francis, Neville;Restrepo-Ángel, Sergio","2018-09-20","Borradores de Economía; No. 1055","C32;C50;E52","Política monetaria;Precios del petróleo;Proyecciones locales;Asimetrías","Monetary policy;Oil prices;Local projections;Asymmetries","Usando Vectores Autorregresivos Estructurales (SVAR) y proyecciones locales (Jordà’s (2005)) analizamos el impacto de choques temporales no anticipados en los precios del petróleo sobre el agregado de la economía y tres sectores: agricultura, minería e industria. Dada su condición exportadora de petróleo, el presente análisis cobra especial importancia en Colombia. Usando datos desde 2000:T1 a 2017:T3, los resultados muestran que un choque positivo al precio del petróleo incrementa el Producto Interno Bruto (PIB), disminuye la percepción de riesgo internacional, aprecia la tasa de cambio e induce la adopción de una política monetaria contractiva. El esquema de inflación objetivo con tipo de cambio flexible hace que tanto la inflación como la inversión extranjera directa (IED) no respondan de manera significativa al choque. A nivel sectorial se presentan
resultados mixtos. El sector agricola no presenta impactos significativos en IED, PIB y en los precios al productor (IPP). En el sector industrial, el PIB disminuye entre el segundo y el quinto trimestre luego de recibir el choque, con respuestas no significativas en el IPP e IED. Finalmente, en el sector minero tanto la IED como el IPP responden de manera positiva.","We employ Structural Vector Autoregressive (SVAR) and Jordà’s (2005) Local Projection approaches to analyze the impact of a shock to international oil prices on the aggregate economy and three sectoral activities in Colombia: Agriculture, Mining and Industry. As an oil producer and exporter, this analysis is relevant due to the importance of the oil sector for Colombia’s
economy. Using data from 2000:Q1 to 2017:Q3, our results show that a positive shock to the Price of oil increases Gross Domestic Product, lowers risk perception, appreciates the exchange rate, and leads to the adoption of contractionary monetary policy. An inflation-targeting scheme with flexible exchange rate makes both inflation and Foreign Direct Investment (FDI) non-responsive to the shock. Results at the sectoral level are mixed. Agriculture’s FDI, production and Producer Price Index (PPI) are unaffected by the shock. Industry’s production falls between the second and fifth quarters after the shock, with no significant responses in its PPI and FDI. Finally, the FDI and PPI respond positively in the Mining sector.","eng"
"Formal Employment and Organized Crime: Regression Discontinuity Evidence from Colombia","Khanna, Gaurav;Medina-Durango, Carlos Alberto;Nyshadham, Anant;Tamayo-Castaño, Jorge Andrés","2018-09-18","Borradores de Economía; No. 1054","K14;K42;J46","Bandas criminales;Informalidad;Medellín","Gangs;Informality;Medellin","Los  modelos  canónicos  del  comportamiento  criminal  resaltan  la  importancia  de  los 
incentivos  económicos  y  las  oportunidades  de  empleo  como  determinantes  del  crimen 
(Becker, 1968). A pesar de esto, existe poca evidencia causal que soporte estos modelos a 
nivel   de   individuos.   Nosotros   pareamos,   a   lo  largo   de   una   década,   información 
socioeconómica  de  individuos  con  el  censo  de  todos  los  arrestos  en  Medellín.  Nosotros 
probamos si incrementar el costo relativo del empleo formal conlleva a un incremento del 
crimen. Se explota una variación exógena en el empleo alrededor de un corte en el puntaje 
socioeconómico, por debajo del cual los individuos reciben aseguramiento en salud si no 
están formalmente empleados. Utilizando un diseño de regresión discontinua, mostramos 
que la política tuvo como consecuencia inducir una reducción en el empleo formal y un 
correspondiente incremento en la actividad del crimen organizado. No se encuentran efectos 
en  crímenes  con  una  motivación  económica  menor  como  aquellos  de  impulso  u 
oportunidad.  Nuestros  resultados  confirman  la  relación  entre  empleo  formal  y  crimen, 
validando los modelos que explican la actividad criminal como una decisión racional.","Canonical  models  of  criminal  behavior  highlight  the  importance  of  economic 
incentives  and  employment  opportunities  in  determining  crime  (Becker,  1968).  Yet, 
there is little causal evidence leveraging individual-level variation in support of these 
claims.  Over  a  decade,  we  link  administrative  micro-data  on  socio-economic  measures 
with the universe of criminal arrests in Medellin. We test whether increasing the relative 
costs to formal-sector employment led to more crime. We exploit plausibly exogenous 
variation  in  employment  around  a  cutoff  in  the  socio-economic  score,  below  which 
individuals receive health care  if they are not formally employed.  Using a regression 
discontinuity  design,  we  show  that  the  policy  had  the  unintended  consequence  of 
inducing a fall in formal-sector employment and a corresponding spike in organized 
criminal activity. There are no effects on less economically motivated crimes like those 
of  impulse  or  opportunity.  Our  results  confirm  the  relationship  between  formal 
employment  and  crime,  validating  models  of  criminal  activity  as  a  rational  economic 
choice.","eng"
"Socioeconomic Determinants and Spatial Convergence of Biological Well-being: The Case of Physical Stature in Colombia, 1920-1990","Meisel-Roca, Adolfo;Ramirez-Giraldo, Maria Teresa;Santos-Cárdenas, Daniela","2018-09-14","Borradores de Economía; No. 1053","I10;I14;I15;N36","Antropometría;Estatura;Bienestar;Calidad de vida;Convergencia;Colombia","Anthropometrics;Height;Biological well-being;Colombia;Socio-economic determinants;Convergence","Este artículo investiga la relación entre la estatura de los colombianos nacidos en el siglo XX y algunas variables socioeconómicas. Usando una base de datos de más de 225,000 individuos construida a partir de certificados de antecedentes judiciales, encontramos un aumento importante en la estatura de la población: la estatura promedio de las mujeres aumentó 4,1 centímetros y la de hombres aumentó 5,7 centímetros. Los resultados econométricos sugieren diferencias importantes en la estatura según género, nivel educativo, ocupación, salud, acceso a los servicios públicos y lugar y fecha de nacimiento. Encontramos que las disparidades en la estatura promedio entre departamentos se redujeron y la brecha entre las regiones se cerró a lo largo del siglo.","This paper explores the relationship between the physical stature of Colombians born during the 20th century and several socioeconomic variables. Using a dataset of more than 225,000 individuals built from judicial background certificates, we find an important increase in the stature of the population: the average height of women increased 4.1 centimeters and that of men increased 5.7 centimeters. Econometric results suggest important differences in the individual’s stature according to gender, level of education, occupation, and place and date of birth. Similarly, the disease environment and access to public services significantly affect people’s height. We find that departmental average height disparities decreased and the gap across regions closed throughout the century.","eng"
"Bancarization and Violence in Colombia","Castro-Pantoja, John David;Gomez-Gonzalez, Jose Eduardo;Mora-Arbelaez, Tatiana;Rodriguez-Novoa, Daniela;Díaz-Barreto, Laura Catalina","2018-09-12","Borradores de Economía; No. 1052","H41;G21;C26","Ataques violentos;Bancarización;Variables instrumentales;Regresión binomial negativa","Violent attacks;Bancarization;Instrumental variables;Negative binomial regression","Los choques de ingreso afectan la violencia a través de los efectos de rapacidad y costo de oportunidad. Los estudios existentes se enfocan en el
impacto de choques transitorios, especialmente innovaciones en los precios de los bienes básicos. Este documento se basa en esa literatura y estudia el
efecto causal de choques de ingreso permanentes sobre el conflicto armado en Colombia. Usando una base de datos que reporta todos los ataques de la guerrilla y otros grupos armados por municipio entre 2009 y 2014, al igual que información sobre la provisión de servicios bancarios, muestra que aumentos en la bancarización llevan a reducciones en la violencia. Estos resultados tienen implicaciones importantes para la política pública en países con una larga historia de violencia. Sugieren que aumentos en la inclusión fi nanciera sirven para reducir el conflicto.","Income shocks affect violence through the opportunity cost and rapacity effects. Existing studies focus on the impact of transitory shocks, especially commodity price innovations. This paper builds on this literature and studies the causal effect of permanent income shocks on armed conflict in Colombia. Using a rich dataset reporting all guerrilla and other armed groups' attacks by municipality between 2009 and 2014 and information on the provision of banking services, it shows that increasing bancarization leads to reductions in violence. These results have important implications for public policy in countries with a long history of violence. They suggest that promoting  nancial inclusion is useful for reducing conflict.","eng"
"Market Access, Agricultural Productivity and Selection Into Trade: Evidence From Colombia","Gafaro, Margarita;Pellegrina, Heitor S.","2018-09-03","Borradores de Economía; No. 1050","F14;J43;N56;O13;Q12;Q17;R14","Mercados agrícolas;Economía espacial;Selección en mercados","Agricultural Trade;Spatial Economics;Selection into trade","En este documento estudiamos las decisiones que toman agricultores con habilidades heterogéneas entre la producción de cultivos comerciales con altos costos fijos y la producción de cultivos de subsistencia con menores costos de producción. Formulamos un modelo de economía espacial en el que un mejor acceso al mercado induce a agricultores de mayor habilidad a pasar de la producción de cultivos de subsistencia a la producción de cultivos que se comercializan en los centros urbanos. Probamos las predicciones del modelo utilizando datos para Colombia que provienen del Tercer Censo Nacional Agropecuario. Explotamos la variación exógena en la ubicación de los asentamientos indígenas en el siglo XVI para estimar efectos de forma reducida del acceso al mercado sobre la decisión de producir cultivos comerciales. Utilizamos los resultados de estas estimaciones para calcular los efectos sobre la productividad agrícola de la existencia de altos costos fijos en la producción de cultivos comerciales. Los restados sugieren que las barreras  a la entrada que imponen estos costos fijos en la producción de cultivos comerciales tienen un efecto importante sobre la productividad del sector agrícola en Colombia.","We study the impact of the selection of farmers into trade on agricultural productivity using new data on the universe of farms in Colombia. To guide our analysis, we formulate a spatial economy model where better market access induces high skill farmers to switch from subsistence to cash crops that are traded in urban centers. We estimate reduced form effects of market access using distance to historical settlements as an instrument and calibrate our model according to these effects. Structural estimates indicate that the selection of farmers into trade have a large effect on agricultural productivity.","eng"
"An Auction-Based Test of Private Information in an Interdealer FX Market","Bonaldi, Pietro;Villamizar-Villegas, Mauricio","2018-08-24","Borradores de Economía; No. 1049","C57;D44;F31;G14","Subastas;Valores Comunes;Valores Privados;Información Privada;Mercado Cambiario;Regresión Discontinua","Auctions;Common Values;Private Values;Private Information;FX Market;Regression Discontinuity","Existen varios mercados financieros en los que algunos intermediarios tranzan una gran parte del volumen total, además de tener acceso a subastas periódicas del mismo activo realizadas por un tercero. Para dicho mercado, derivamos una prueba de información privada sobre el valor del activo que combina datos sobre el comportamiento de las pujas y las transacciones de mercado. Nuestro enfoque es probar valores privados versus valores comunes, tal como se define en la teoría de subastas. Utilizamos cambios en los precios de mercado de los postores extremos antes y después de la subasta para probar la hipótesis nula de valores privados (sin información privada) frente a la alternativa de valores comunes (información privada). Además, utilizamos un diseño de regresión discontinua en el que comparamos el comportamiento de los postores que ofertan justo debajo y encima del precio de corte de la subasta para controlar por posibles efectos de inventario. Nuestro caso de estudio son las subastas de divisas realizadas por el Banco de la Republica de Colombia durante el período 2008-2014, y el mercado cambiario correspondiente de pesos-dólar. En general, nuestra prueba rechaza la hipótesis nula. En particular, la información revelada a los postores sobre sus valoraciones relativas tiene un efecto sobre los precios de mercado, en una ventana de una hora, equivalente al 23% - 39% de la desviación estándar de los precios de las divisas.","There are several financial markets where a few dealers trade a large share of total volume, while also having access to periodic auctions of the same asset conducted by a third party. For such a market, we derive a test of private information about the value of the asset that combines data on both bidding behavior and market trades. Our approach is to test for private versus common values, as defined in auction theory. We use changes in trading prices of extreme bidders before and after the auction to test the null hypothesis of private values (no private information) against the alternative of common values (private information). Additionally, we use a regression discontinuity design where we compare the behavior of dealers bidding right below and right above the auction's cutoff price to control for inventory effects. Our case study are foreign exchange auctions conducted by the Central Bank of Colombia during the period 2008-2014, and the corresponding interdealer market for Colombian Pesos against US dollars. Overall, our test rejects the null hypothesis. Specifically, information revealed to the bidders about their relative valuations has a subsequent effect on trading prices, at an hourly trading window, equivalent to 23\% - 39\% of the standard deviation of currency prices.","eng"
"The Returns from Training in Colombia: Evidence from a Longitudinal Survey","Cardona-Sosa, Lina Marcela;Morales-Zurita, Leonardo Fabio;Londoño, Julian;Flórez, Luz Adriana","2018-08-22","Borradores de Economía; No.1048","C23;I26;J31;P36","Educación;Retornos a la capacitacion;Hetereogeneidad no observada;Sesgo de selección;Datos panel","Education;Returns from training;Unobserved heterogeneity;Sample selection bias;Panel data","Este documento explora los retornos de la capacitación para el trabajo en Colombia usando los datos de la Encuesta Longitudinal de Fedesarrollo entre 2009 y 2010. Los datos panel nos permite controlar por la heterogeneidad no observada de los individuos, que no cambia en el tiempo. Para controlar por el sesgo de selección, utilizamos la metodología de corrección propuesta en Wooldridge (1995). Los resultados sugieren que los retornos a la capacitación para el trabajo son positivos y significativos, entre el 7% y 9%.  Adicionalmente, los resultados indican que la mayor capacitación incrementa la probabilidad de continuar empleado, sugiriendo una mejora en las condiciones laborales de los individuos.","In this paper we explore the wage returns from training in Colombia, using data from the “The Social Longitudinal Survey” between 2009 and 2010. Using the longitudinal component of the data, we control for time invariant individuals’ unobserved heterogeneity and, following Wooldridge (1995), we correct for sample selection in panel data. Our results suggest that there is a positive return from training. The magnitude of the estimates suggests an increase in wages between 7% and 9%. We find that OLS overestimate the effects of receiving training. This suggests that individuals who receive training are the ones with high unobserved skills. We also find that trainees increase their probability of being continuously employed, suggesting an improvement in individuals’ working conditions.","eng"
"Detecting exchange rate contagion using copula functions","Gómez-González, José Eduardo;Cubillos-Rocha, Juan Sebastian;Melo-Velandia, Luis Fernando","2018-08-14","Borradores de Economía; No. 1047","C32;C51;E42","Funciones cópula;Contagio de tasas de cambio;Economias emergentes y desarrolladas","Copula functions;Exchange rate contagion;Emerging and developed economies","El presente trabajo estudia la existencia de contagio financiero entre tasas de cambio de siete países, de diferentes regiones del mundo. Considera tasas de cambio bilaterales respecto al dólar de Estados Unidos, para Alemania, Brasil, Corea del Sur, Chile, Indonesia, Reino Unido y Sudáfrica. Se usan datos diarios obtenidos en Bloomberg, entre abril de 2006 y febrero de 2018. Se emplea una metodología de funciones cópula, que permiten describir la dependencia entre funciones de distribución univariadas de forma muy general. Los resultados muestran evidencia de contagio entre tasas de cambio durante periodos de apreciación de las monedas frente al dólar. Dicho contagio es mayor entre economías de una misma región (por ejemplo, entre Chile y Brasil, y entre Corea del Sur e Indonesia). Esto implica que, durante tiempos de apreciación cambiaria, los inversionistas internacionales deben usar estrategias de diversificación regional para reducir el riesgo cambiario de sus portafolios. Asimismo, en general el contagio es mayor para pares de monedas que incluyen o Alemania o el Reino Unido.","We study exchange rate dependencies between seven countries from four different regions of the world. Our sample includes two developed countries, the United Kingdom and Germany (representing the Euro Area), two large emerging Asian economies, South Korea and Indonesia, two Latin American countries, Brazil and Chile, and South Africa. The currencies of all of these countries are actively traded in global forex markets and all of them are important for large international portfolio composition and rebalancing. We construct multivariate copula functions using a regular vine copula approach, allowing for very flexible dependency structures. We fi nd evidence of exchange rate contagion for our set of countries. However, important asymmetries are worth noting. First, contagion occurs only during periods of exchange rate appreciation of the different currencies with respect to the United States Dollar. We do not fi nd evidence of contagion for any pair of exchange rates during periods of currency depreciations. Second, contagion is more frequent in pairs of countries that include either the United Kingdom or Germany. In fact, the largest tail dependence coefficient corresponds to the pair composed by these two countries' exchange rates. Third, contagion occurs more within countries of a same region, for instance, between Brazil and Chile, and between Korea and Indonesia. This result shows that, in episodes of large currency appreciation, hedging strategies for global investors taking positions in large markets require regional diversi cation.","eng"
"Elasticidad del ingreso corporativo gravable en Colombia","Melo-Becerra, Ligia Alba;Zárate-Solano, Héctor;Gómez-Molina, Andrés Camilo","2018-07-31","Borradores de Economía; No. 1046","H21;H25;H32;C20;C26","Impuestos corporativos;Elasticidad del ingreso gravable;Regresión por cuantiles con datos panel;Colombia","Corporate tax;Elasticity of taxable income;Quantile regression with panel data;Colombia","En este documento se estima la elasticidad de la utilidad de las empresas con respecto a la tasa efectiva marginal de tributación neta, en un contexto de frecuentes reformas tributarias. Esta medición es relevante, dado el amplio margen de maniobra que tienen las firmas para responder ante cambios en los impuestos, y por la importancia del impuesto de renta corporativo sobre la actividad económica y el balance fiscal. El análisis se realiza para las reformas tributarias implementadas en Colombia, durante el periodo 2008--2014, utilizando Mínimos Cuadrados en dos etapas y la Regresión por Cuantiles Endógena con Datos Panel. Los cálculos de las tasas efectivas marginales de tributación muestran que la carga tributaria que recae sobre las empresas es inferior a la tasa estatutaria definida por la ley, debido a las deducciones establecidas en el estatuto tributario. Por su parte, los resultados de las elasticidades señalan que las respuestas de las firmas dependen de la reforma evaluada y de las características de las empresas.","In this paper, we estimate the elasticity of profits before taxes with respect to the net-off marginal effective tax rate in a context of frequent tax reforms. This measurement is relevant, given the wide margin of maneuver that firms have to respond to changes in taxes, and the importance of corporate income taxes on economic activity and the fiscal balance. The analysis is carried out for the tax reforms implemented in Colombia, during the period 2008--2014, using Least Squares in two stages and Endogenous Quantile Regression for Panel Data. The marginal effective tax rates used in the estimations shows that the corporate tax burden of firms is lower than the statutory tax rate defined by law, due to tax deductions and tax exemptions established by Law. In turn, the results of the elasticities show that the firms' responses depend on the specific tax reform and on the companies' characteristics.","spa"
"Curvas Laffer de la Tributación en Colombia","Lozano-Espitia, Luis Ignacio;Arias-Rodríguez, Fernando","2018-07-13","Borradores de Economía; No. 1045","E13;E62;H20;H30;H60","Curva de Laffer;Política Fiscal;Impuestos al Trabajo;Impuestos al Capital;Impuestos al Consumo","Laffer curves;Fiscal Policy;Taxes on Consumption;Taxes on labor and capital incomes","En este documento se estiman las curvas de Laffer para los impuestos al trabajo, al capital y al consumo en Colombia. Se utiliza un modelo neoclásico de crecimiento con capital humano del tipo insinuado por Trabandt y Uhlig (2011), el cual es calibrado con la información de las cuentas nacionales para el período 1994 a 2015. Los resultados permiten, por una parte, comparar las tarifas impositivas efectivas actuales sobre los factores de producción frente aquellas que maximizaría los recaudos del gobierno y, por consiguiente, derivar el espacio fiscal que eventualmente tiene el gobierno por el lado de los impuestos. Por otra, permiten simular ejercicios de la política fiscal mediante el uso de sus principales instrumentos y, finalmente, contrastar las tarifas tributarias efectivas y las curvas de Laffer en Colombia frente a la de los países de la OECD","This paper estimates the Laffer curves in Colombia for taxes on
labor income, capital gains, and consumption. We used a
neoclassical growth model with human capital, as that suggested
by Trabandt and Uhlig (2011), inputting data from the national
accounts system, for the period 1994 to 2015. The results permit
to compare the current effective tax rates on the factors of
production against that which would maximize the government's
revenues, and therefore derive the government's possible taxrelated
fiscal space. Furthermore, they help us perform some
fiscal-policy simulations employing the policy's main tools, and
they let us contrast Colombia's effective tax rates and Laffer
curves with those of the OECD countries","spa"
