"source","target","weight","type"
"Arango-Arango, Carlos Alberto","Suárez-Ariza, Nicolás F.",1,"Undirected"
"Arango-Arango, Carlos Alberto","Garrido-Mejía, Sergio H.",1,"Undirected"
"Suárez-Ariza, Nicolás F.","Garrido-Mejía, Sergio H.",1,"Undirected"
"Rincón-Castro, Hernán","Delgado-Rojas, Martha Elena",1,"Undirected"
"Lozano-Espitia, Luis Ignacio","Ricciulli-Marin, Diana",1,"Undirected"
"Misas A., Martha","Posada, Carlos Esteban",1,"Undirected"
"Misas A., Martha","Vásquez, Diego Mauricio",1,"Undirected"
"Posada, Carlos Esteban","Vásquez, Diego Mauricio",1,"Undirected"
"Gamba-Santamaría, Santiago","González-Molano, Eliana Rocío",1,"Undirected"
"Gamba-Santamaría, Santiago","Melo-Velandia, Luis Fernando",1,"Undirected"
"González-Molano, Eliana Rocío","Melo-Velandia, Luis Fernando",1,"Undirected"
"Ávila-Vélez, Juliana","Pinzón, Álvaro José",1,"Undirected"
"Iregui-Bohórquez, Ana María","Melo-Becerra, Ligia Alba",1,"Undirected"
"Iregui-Bohórquez, Ana María","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Melo-Becerra, Ligia Alba","Ramos-Forero, Jorge Enrique",1,"Undirected"
"Posada, Carlos Esteban","Morales-J., Camilo",1,"Undirected"
"Posada, Carlos Esteban","García-Suaza, Andrés Felipe",1,"Undirected"
"Morales-J., Camilo","García-Suaza, Andrés Felipe",1,"Undirected"
"Posada, Carlos Esteban","García-Suaza, Andrés Felipe",1,"Undirected"
"Posada, Carlos Esteban","Arango-Thomas, Luis Eduardo",1,"Undirected"
"Barajas, Adolfo","López-Enciso, Enrique Antonio",1,"Undirected"
"Barajas, Adolfo","Oliveros, Hugo",1,"Undirected"
"López-Enciso, Enrique Antonio","Oliveros, Hugo",1,"Undirected"
"Hernández, Mauricio A.","Jalil-Barney, Munir Andrés",1,"Undirected"
"Hernández, Mauricio A.","Posada, Carlos Esteban",1,"Undirected"
"Jalil-Barney, Munir Andrés","Posada, Carlos Esteban",1,"Undirected"
"Sandoval, Diego Alberto","Reyes, María Fernanda",1,"Undirected"
"Julio-Román, Juan Manuel","Grajales, Anderson",1,"Undirected"
"Barón-Rivera, Juan David","Bonilla-Mejía, Leonardo",1,"Undirected"
"Barón-Rivera, Juan David","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Barón-Rivera, Juan David","Ospina, Monica",1,"Undirected"
"Bonilla-Mejía, Leonardo","Cardona-Sosa, Lina Marcela",1,"Undirected"
"Bonilla-Mejía, Leonardo","Ospina, Monica",1,"Undirected"
"Cardona-Sosa, Lina Marcela","Ospina, Monica",1,"Undirected"
"Arias-Rodríguez, Fernando","Garrido, Daira",1,"Undirected"
"Arias-Rodríguez, Fernando","Parra-Amado, Daniel",1,"Undirected"
"Arias-Rodríguez, Fernando","Rincón-Castro, Hernán",1,"Undirected"
"Garrido, Daira","Parra-Amado, Daniel",1,"Undirected"
"Garrido, Daira","Rincón-Castro, Hernán",1,"Undirected"
"Parra-Amado, Daniel","Rincón-Castro, Hernán",1,"Undirected"
"Arango-Thomas, Luis Eduardo","Castillo, Mauricio",1,"Undirected"
"Betancourt-García, Yanneth Rocío","Misas A., Martha",1,"Undirected"
"Betancourt-García, Yanneth Rocío","Bonilla-Mejía, Leonardo",1,"Undirected"
"Misas A., Martha","Bonilla-Mejía, Leonardo",1,"Undirected"
"Álvarez, Andrés","Hofstetter, Marc",1,"Undirected"
"Cabrera-Rodríguez, Wilmar Alexander","Hurtado-Guarín, Jorge Luis",1,"Undirected"
"Cabrera-Rodríguez, Wilmar Alexander","Morales, Miguel",1,"Undirected"
"Cabrera-Rodríguez, Wilmar Alexander","Rojas-Bohórquez, Juan Sebastián",1,"Undirected"
"Hurtado-Guarín, Jorge Luis","Morales, Miguel",1,"Undirected"
"Hurtado-Guarín, Jorge Luis","Rojas-Bohórquez, Juan Sebastián",1,"Undirected"
"Morales, Miguel","Rojas-Bohórquez, Juan Sebastián",1,"Undirected"
"Cepeda-López, Freddy Hernán","Ortega-Castro, Fabio Gonzalo",1,"Undirected"
"González-Molano, Eliana Rocío","Melo-Velandia, Luis Fernando",1,"Undirected"
"González-Molano, Eliana Rocío","Monroy, Viviana",1,"Undirected"
"González-Molano, Eliana Rocío","Rojas, Brayan",1,"Undirected"
