"word","score","polarity"
"acertado",0.708,"positive"
"admirable",0.906,"positive"
"admiración",0.45,"positive"
"admirar",0.75,"positive"
"afectivo",0.375,"positive"
"afecto",0.321,"positive"
"afectuoso",0.563,"positive"
"afición",0.5,"positive"
"afortunado",0.813,"positive"
"agradable",0.75,"positive"
"agradecido",0.5,"positive"
"alegrar",0.458,"positive"
"alegre",0.661,"positive"
"alentador",0.594,"positive"
"alentar",0.275,"positive"
"amable",0.688,"positive"
"amar",1,"positive"
"amistoso",0.708,"positive"
"amor",0.278,"positive"
"animado",0.494,"positive"
"animar",0.289,"positive"
"apacible",0.313,"positive"
"apasionado",0.469,"positive"
"apego",0.375,"positive"
"aprecio",0.344,"positive"
"aprobar",0.375,"positive"
"ardiente",0.313,"positive"
"atractivo",0.844,"positive"
"beneficio",0.396,"positive"
"benevolencia",0.438,"positive"
"benevolente",0.313,"positive"
"bien",0.833,"positive"
"bien",0.35,"positive"
"bienestar",0.531,"positive"
"bondad",0.25,"positive"
"bonito",0.75,"positive"
"buen",0.734,"positive"
"bueno",0.833,"positive"
"cariñoso",0.438,"positive"
"cautivado",0.438,"positive"
"cautivador",0.594,"positive"
"cercano",0.354,"positive"
"comodidad",0.406,"positive"
"compañerismo",0.25,"positive"
"competente",0.589,"positive"
"complacencia",0.688,"positive"
"complacer",0.475,"positive"
"complaciente",0.643,"positive"
"confianza",0.375,"positive"
"confortar",0.375,"positive"
"consolar",0.375,"positive"
"contentarse",0.375,"positive"
"contento",0.778,"positive"
"correcto",0.806,"positive"
"cortés",0.667,"positive"
"cuidadoso",0.521,"positive"
"cálido",0.411,"positive"
"cándido",0.35,"positive"
"cómodo",0.469,"positive"
"decente",0.571,"positive"
"deleitarse",0.475,"positive"
"diestro",0.625,"positive"
"disfrutar",0.536,"positive"
"divertido",0.653,"positive"
"divertir",0.281,"positive"
"divertirse",0.542,"positive"
"dulce",0.518,"positive"
"emotivo",0.313,"positive"
"encantado",0.417,"positive"
"encantador",0.833,"positive"
"entusiasmo",0.661,"positive"
"entusiasta",0.6,"positive"
"estima",0.521,"positive"
"estimulante",0.5,"positive"
"estimular",0.262,"positive"
"euforia",0.531,"positive"
"eufórico",0.344,"positive"
"excelente",0.75,"positive"
"excitante",0.425,"positive"
"experto",0.833,"positive"
"fascinación",0.438,"positive"
"fascinante",0.5,"positive"
"favorable",0.844,"positive"
"favorecer",0.268,"positive"
"felicidad",0.708,"positive"
"feliz",0.719,"positive"
"ferviente",0.5,"positive"
"fiable",0.75,"positive"
"firmeza",0.278,"positive"
"gozar",0.458,"positive"
"gracioso",0.625,"positive"
"gratificante",0.75,"positive"
"gustar",0.406,"positive"
"gusto",0.266,"positive"
"honorable",0.583,"positive"
"honrado",0.667,"positive"
"honrar",0.5,"positive"
"hábil",0.875,"positive"
"ideal",0.425,"positive"
"idóneo",0.7,"positive"
"interés",0.321,"positive"
"jovial",0.775,"positive"
"joya",0.458,"positive"
"jubiloso",0.563,"positive"
"justo",0.675,"positive"
"júbilo",0.542,"positive"
"magnífico",0.804,"positive"
"mañoso",0.563,"positive"
"minucioso",0.438,"positive"
"optimismo",0.458,"positive"
"optimista",0.781,"positive"
"placentero",0.875,"positive"
"plácido",0.25,"positive"
"positivo",0.594,"positive"
"preferencia",0.281,"positive"
"prometedor",0.875,"positive"
"provecho",0.328,"positive"
"reconfortante",0.375,"positive"
